"batch_size","best_epoch","dropout","dropout_lstm","english_lstm","epochs","german_lstm","layers","learning_rate","val_mae","val_mean_squared_error","val_pearsonr","val_rmse"
"64","2","0.18","0.33","512","250","512","[512, 1024]","0.000319","0.5295611619949341","0.7460013628005981","0.16340763866901398","0.8637136816978455"
"256","13","0.25","0.27","128","250","512","[1024, 128]","0.00047599999999999997","0.5317569375038147","0.7627670168876648","0.10160988569259644","0.8733653426170349"
"128","15","0.27","0.24","128","250","64","[1024, 512, 128, 256]","5.2e-05","0.5417346358299255","0.7725871801376343","0.16093741357326508","0.8789693713188171"
"512","8","0.31","0.25","256","250","64","[256, 1024, 512]","0.000993","0.5520379543304443","0.8819422721862793","0.10539954900741577","0.9391177892684937"
"256","4","0.27","0.19","32","250","128","[1024, 128, 256]","0.000833","0.5262961983680725","0.7179856896400452","0.16218328475952148","0.8473403453826904"
"64","18","0.46","0.28","64","250","128","[256, 1024, 128, 64]","9.8e-05","0.5337244868278503","0.743165135383606","0.16435077786445618","0.8620702624320984"
"64","4","0.41000000000000003","0.36","128","250","64","[512, 64]","0.0008179999999999999","0.5365345478057861","0.7520948052406311","0.138695627450943","0.8672339916229248"
"64","4","0.47000000000000003","0.4","32","250","32","[1024, 128]","0.000621","0.5406673550605774","0.7563079595565796","0.11747204512357712","0.8696596622467041"
"32","3","0.11","0.02","32","250","512","[512, 64, 128, 1024]","0.000828","0.5222783088684082","0.7511023879051208","-0.050430189818143845","0.8666616082191467"
"256","4","0.32","0.48","64","250","256","[256]","0.000824","0.5390534400939941","0.7180131077766418","0.15790940821170807","0.8473565578460693"
"32","16","0.4","0.47000000000000003","128","250","256","[256, 128, 64]","0.000345","0.5584205389022827","0.7635095119476318","0.14061012864112854","0.8737903237342834"
"32","5","0.28","0.33","256","250","64","[512, 64, 256]","0.00031","0.5159784555435181","0.7334139943122864","0.16099275648593903","0.856395959854126"
"512","8","0.39","0.32","128","250","128","[64]","0.0009429999999999999","0.5608384609222412","0.8606072068214417","0.17006652057170868","0.9276891946792603"
"128","4","0.09","0.06","256","250","32","[1024, 128, 512]","0.000779","0.5590593218803406","0.8100463151931763","0.15515121817588806","0.9000257253646851"
"128","5","0.21","0.27","512","250","128","[256, 512, 1024]","0.00012299999999999998","0.5597718358039856","0.7751737236976624","0.15232883393764496","0.8804395198822021"
"256","5","0.46","0.29","32","250","256","[512, 128]","0.000815","0.5342798233032227","0.7213634848594666","0.16133727133274078","0.8493312001228333"
"512","13","0.46","0.24","256","250","64","[128, 256, 1024, 64]","0.0009989999999999999","0.5569546222686768","0.8795777559280396","0.14012692868709564","0.9378580451011658"
"512","7","0.02","0.02","256","250","128","[128, 64, 512, 256]","0.0006709999999999999","0.5464988946914673","0.8799903392791748","0.14763784408569336","0.938077986240387"
"256","84","0.3","0.18","64","250","32","[128, 256, 64]","2.6e-05","0.5182906985282898","0.7171548008918762","0.16118168830871582","0.8468499183654785"
"32","3","0.03","0.27","128","250","256","[128, 256]","0.000547","0.5355556011199951","0.7359880805015564","0.13436564803123474","0.8578974604606628"
"256","12","0.42","0.31","32","250","32","[128]","0.00031","0.5110579133033752","0.7272603511810303","0.13456948101520538","0.8527956008911133"
"256","6","0.3","0.19","128","250","128","[256, 128, 512]","0.000512","0.5118989944458008","0.7238526940345764","0.15893800556659698","0.850795328617096"
