"batch_size","best_epoch","dropout","dropout_lstm","english_lstm","epochs","german_lstm","layers","learning_rate","val_mae","val_mean_squared_error","val_pearsonr","val_rmse"
"512","16","0.13","0.06","128","250","256","[256]","0.0009739999999999999","0.5589497089385986","0.8767328858375549","0.08153031766414642","0.9363401532173157"
"64","7","0.3","0.2","512","250","64","[256, 512, 128, 1024]","0.00026","0.5253466367721558","0.7522276639938354","0.12584322690963745","0.8673105835914612"
"512","35","0.4","0.08","32","250","256","[256, 1024]","5.8e-05","0.5657537579536438","0.8635778427124023","0.14540323615074158","0.9292888641357422"
"128","30","0.35000000000000003","0.46","128","250","256","[64, 512, 128, 1024]","0.000597","0.5307743549346924","0.794094979763031","-0.044127847999334335","0.8911200761795044"
"32","10","0.38","0.17","64","250","64","[64, 512, 1024, 256]","0.00039","0.5278345942497253","0.7413231134414673","0.11930117011070251","0.8610012531280518"
"256","14","0.31","0.32","64","250","128","[256]","0.000354","0.5123432278633118","0.7210658192634583","0.1708575338125229","0.8491559624671936"
"256","18","0.03","0.39","512","250","256","[512, 1024]","0.00031","0.5525121688842773","0.739885151386261","0.09459161758422852","0.8601657748222351"
"256","8","0.26","0.43","512","250","512","[256]","0.000194","0.5220536589622498","0.7240356802940369","0.13431264460086823","0.8509028553962708"
"512","13","0.47000000000000003","0.38","64","250","128","[128]","0.000488","0.5618710517883301","0.8550333976745605","0.1791153997182846","0.9246801733970642"
"32","5","0.18","0.26","128","250","32","[1024, 512, 256]","0.000113","0.5389050841331482","0.7372614741325378","0.1290518194437027","0.8586392998695374"
"512","27","0.38","0.33","256","250","512","[1024]","0.000828","0.5429425239562988","0.9056814908981323","0.05770855396986008","0.9516729712486267"
"64","6","0.37","0.18","256","250","256","[256, 512, 1024]","0.000247","0.5386417508125305","0.7531033158302307","0.14428259432315826","0.8678152561187744"
"256","5","0.37","0.34","256","250","512","[128]","0.000502","0.5158617496490479","0.7291936278343201","0.13937191665172577","0.8539283275604248"
"512","14","0.15","0.29","32","250","512","[64]","0.000279","0.5683372020721436","0.863133430480957","0.1481148600578308","0.9290497303009033"
"256","17","0.28","0.46","512","250","64","[64, 1024]","1.4999999999999999e-05","0.5189740061759949","0.7248356938362122","0.13202409446239471","0.8513728380203247"
"64","2","0.22","0.17","512","250","256","[512, 1024, 128]","0.000213","0.5142501592636108","0.7484976053237915","0.16119447350502014","0.8651575446128845"
"512","26","0.12","0.21","256","250","512","[256, 512]","0.0006399999999999999","0.5456012487411499","0.8850018978118896","0.1148071140050888","0.9407454133033752"
"128","1","0.33","0.05","64","250","512","[256, 512, 1024, 128]","0.0007369999999999999","0.5327100157737732","0.7923362851142883","0.03090420737862587","0.8901327252388"
"32","5","0.18","0.08","128","250","64","[128, 256, 64]","0.000174","0.5403518080711365","0.7344220876693726","0.14341087639331818","0.8569843173027039"
"256","17","0.38","0.28","512","250","32","[256, 64]","0.00094","0.512719452381134","0.7187795639038086","0.19512231647968292","0.8478086590766907"
"256","24","0.42","0.36","512","250","128","[64, 512, 128, 1024]","0.0006039999999999999","0.5236711502075195","0.7350359559059143","-0.08722168207168579","0.8573423624038696"
"256","15","0.49","0.33","64","250","256","[512]","0.000372","0.5237526297569275","0.7251555323600769","0.13040749728679657","0.851560652256012"
"128","1","0.29","0.46","256","250","32","[1024, 64]","0.000979","0.5315595865249634","0.7927030324935913","0.032636526972055435","0.8903387188911438"
"256","30","0.35000000000000003","0.16","32","250","512","[512, 1024, 256, 64]","0.00030399999999999996","0.49821576476097107","0.7293313145637512","0.15235888957977295","0.8540089726448059"
"64","5","0.4","0.1","32","250","64","[512]","0.00066","0.5481918454170227","0.7498449087142944","0.1454850733280182","0.8659358620643616"
"128","23","0.29","0.25","32","250","128","[64, 512, 1024, 256]","4.4e-05","0.5379402041435242","0.7801669239997864","0.12994953989982605","0.8832705616950989"
"64","6","0.14","0.06","128","250","512","[1024, 64, 256, 128]","0.000948","0.5180376768112183","0.7687269449234009","-0.04690094664692879","0.8767707347869873"
"32","19","0.43","0.03","512","250","32","[1024, 64, 256, 512]","0.00017999999999999998","0.5262385606765747","0.7303218245506287","0.13840238749980927","0.8545886874198914"
"128","8","0.14","0.3","32","250","512","[256, 1024]","0.000483","0.5536134839057922","0.7791699767112732","0.12978841364383698","0.8827060461044312"
"256","9","0.22","0.29","256","250","256","[512, 64]","0.000408","0.5397684574127197","0.7252762317657471","0.11841639876365662","0.8516315221786499"
"64","11","0.14","0.19","512","250","256","[64, 1024, 512]","0.000263","0.5475109219551086","0.76022869348526","0.14543627202510834","0.8719109296798706"
"32","14","0.45","0.19","64","250","256","[512]","0.000494","0.5444321632385254","0.7721288800239563","0.09489354491233826","0.8787086606025696"
"64","12","0.08","0.2","64","250","128","[1024]","0.000811","0.5414596199989319","0.763719379901886","0.054940976202487946","0.8739103674888611"
"64","4","0.24","0.44","256","250","256","[64]","0.00035","0.5435129404067993","0.7568351626396179","0.11696229130029678","0.869962751865387"
"32","35","0.22","0.02","128","250","32","[64, 1024, 256]","0.000744","0.5438620448112488","0.7827867269515991","0.026458796113729477","0.8847523331642151"
"128","10","0.07","0.36","64","250","128","[128, 512]","0.00031","0.5428105592727661","0.7773111462593079","0.13166412711143494","0.8816525340080261"
"32","9","0.36","0.09","512","250","128","[128, 512]","0.00052","0.5355153679847717","0.7469155192375183","0.08300918340682983","0.8642427325248718"
"64","6","0.22","0.29","128","250","256","[1024]","0.000159","0.545863687992096","0.7483125329017639","0.15186776220798492","0.8650506138801575"
"512","14","0.38","0.29","64","250","64","[512]","0.000576","0.5637180805206299","0.8760204911231995","0.10609186440706253","0.9359596371650696"
"64","7","0.09","0.08","512","250","256","[128]","5.6999999999999996e-05","0.5472204089164734","0.7510636448860168","0.13684023916721344","0.866639256477356"
"256","5","0.12","0.28","64","250","256","[256]","0.00094","0.5363094210624695","0.7300732135772705","0.09008685499429703","0.8544431924819946"
"64","5","0.11","0.35000000000000003","128","250","256","[64, 256, 128, 1024]","0.0008839999999999999","0.5209747552871704","0.7653429508209229","0.0053063551895320415","0.8748388290405273"
"512","25","0.19","0.18","64","250","512","[128, 512, 1024, 64]","0.000518","0.5449711084365845","0.871123731136322","0.16764409840106964","0.9333400726318359"
"512","31","0.11","0.45","64","250","32","[64, 512]","0.000247","0.552348792552948","0.8712923526763916","0.14418864250183105","0.9334304332733154"
"256","6","0.02","0.05","128","250","128","[512, 128]","0.00082","0.5235158801078796","0.731396496295929","0.07998227328062057","0.8552172183990479"
"256","19","0.01","0.42","64","250","64","[128]","0.00029","0.5164047479629517","0.7267279624938965","0.15704746544361115","0.8524833917617798"
"32","13","0.12","0.25","256","250","512","[1024, 128, 64, 512]","0.000878","0.519290030002594","0.7506976127624512","0.017915206030011177","0.8664280772209167"
"512","27","0.04","0.02","256","250","64","[512, 256]","0.0006749999999999999","0.5638469457626343","0.8979361057281494","0.02516910992562771","0.9475948810577393"
"128","70","0.1","0.32","512","250","64","[64, 512, 128]","0.000775","0.5188609957695007","0.7961362600326538","0.06223257631063461","0.8922646641731262"
"128","16","0.44","0.25","512","250","512","[1024, 64, 512, 128]","0.000193","0.526279628276825","0.7843017578125","0.14489008486270905","0.8856081366539001"
"128","6","0.35000000000000003","0.12","512","250","64","[256]","0.000341","0.5277816653251648","0.7859102487564087","0.1149987205862999","0.8865157961845398"
"256","4","0.21","0.33","256","250","256","[1024]","0.000593","0.5255134701728821","0.7235801815986633","0.1246042251586914","0.8506351709365845"
"128","12","0.31","0.27","64","250","128","[256, 64, 512]","0.00024099999999999998","0.5414403080940247","0.7745167016983032","0.14993318915367126","0.8800662755966187"
"64","5","0.42","0.35000000000000003","128","250","512","[128, 1024]","0.000445","0.5319278240203857","0.7491194605827332","0.1466144174337387","0.8655169010162354"
"32","6","0.3","0.13","512","250","64","[64]","0.000443","0.5313764810562134","0.7368070483207703","0.12411084771156311","0.8583746552467346"
"32","10","0.17","0.1","128","250","512","[512, 64, 256, 1024]","0.000385","0.5449069738388062","0.7379979491233826","0.14268256723880768","0.8590680956840515"
"32","17","0.29","0.06","32","250","256","[64, 256]","0.000936","0.5559414625167847","0.7788674831390381","0.12157943099737167","0.8825346827507019"
"64","14","0.11","0.25","32","250","32","[1024, 512]","0.000995","0.5270505547523499","0.7577870488166809","0.11146845668554306","0.8705096244812012"
"32","14","0.4","0.31","32","250","64","[256, 1024, 64, 128]","0.000188","0.5122494101524353","0.7355577349662781","0.15380766987800598","0.857646644115448"
"256","20","0.42","0.28","512","250","128","[1024, 512, 64, 256]","0.000121","0.5081272721290588","0.7257627844810486","0.14250196516513824","0.8519171476364136"
"256","24","0.49","0.09","64","250","128","[64, 256, 1024]","0.000572","0.5088558793067932","0.7366949915885925","0.086327463388443","0.8583093881607056"
