"batch_size","best_epoch","dropout","epochs","layers","learning_rate","val_mae","val_mean_squared_error","val_pearsonr","val_rmse"
"64","8","0.06","250","[1024, 64, 512, 256]","0.000692","0.5506795048713684","0.7302842736244202","0.16582578420639038","0.8545666933059692"
"64","39","0.3","250","[128, 64]","8.3e-05","0.5475086569786072","0.7297865152359009","0.15452784299850464","0.8542754054069519"
"512","9","0.26","250","[128, 64, 1024, 256]","0.000891","0.5587401390075684","0.7305961847305298","0.16861775517463684","0.8547492027282715"
"128","4","0.04","250","[1024, 64]","0.000509","0.5133039355278015","0.728669285774231","0.16802547872066498","0.8536213040351868"
"512","8","0.42","250","[256]","0.000677","0.5130048990249634","0.7278414964675903","0.16476748883724213","0.8531362414360046"
"32","4","0.16","250","[64, 128, 256]","0.0009419999999999999","0.5095040798187256","0.7342434525489807","0.13022832572460175","0.8568800687789917"
"128","7","0.13","250","[512, 64]","0.000606","0.5670685172080994","0.7424612641334534","0.14625917375087738","0.8616619110107422"
"128","28","0.09","250","[64]","0.000163","0.53104567527771","0.7323047518730164","0.14715728163719177","0.8557480573654175"
"256","29","0.41000000000000003","250","[256]","0.000116","0.527579665184021","0.7236189842224121","0.17513783276081085","0.8506579995155334"
"32","4","0.32","250","[64, 256, 512, 1024]","0.000667","0.5380978584289551","0.7406719326972961","0.1119307428598404","0.8606230020523071"
"64","4","0.0","250","[128, 256]","0.000658","0.5048863291740417","0.7324959635734558","0.1605851948261261","0.8558597564697266"
"512","13","0.32","250","[64]","0.000901","0.5293250679969788","0.7320676445960999","0.1405494511127472","0.8556095361709595"
"256","5","0.47000000000000003","250","[256, 1024]","0.000309","0.5509958863258362","0.7290622591972351","0.17427204549312592","0.8538514375686646"
"256","14","0.31","250","[64, 256, 128]","0.00031999999999999997","0.5225866436958313","0.7324742674827576","0.1470641791820526","0.8558471202850342"
"128","4","0.0","250","[64, 512]","0.0008669999999999999","0.5220672488212585","0.7342932820320129","0.13945341110229492","0.8569091558456421"
"128","28","0.03","250","[256]","8.599999999999999e-05","0.5284847617149353","0.7240592837333679","0.17716170847415924","0.8509167432785034"
"64","11","0.42","250","[128, 64, 512, 256]","0.000841","0.5351039171218872","0.7327346801757812","0.17517253756523132","0.855999231338501"
"512","6","0.12","250","[1024, 256, 512, 64]","0.0005009999999999999","0.5290783643722534","0.7257911562919617","0.17156647145748138","0.8519337773323059"
"128","8","0.49","250","[1024, 256, 128, 512]","0.0009889999999999999","0.530735969543457","0.7337003946304321","0.17696265876293182","0.856563150882721"
"128","4","0.25","250","[256, 128]","0.0006439999999999999","0.5193469524383545","0.7248233556747437","0.1770075559616089","0.8513655662536621"
"256","8","0.18","250","[256, 64, 128]","0.000663","0.5359857678413391","0.7245096564292908","0.17749862372875214","0.8511813282966614"
"256","14","0.21","250","[64, 256, 512, 128]","0.000212","0.5304135680198669","0.7376858592033386","0.13181430101394653","0.8588864207267761"
"512","200","0.38","250","[256, 128, 64]","2.8e-05","0.5195678472518921","0.7215858697891235","0.1833607256412506","0.84946209192276"
"512","8","0.04","250","[256]","0.000532","0.5128533244132996","0.7283742427825928","0.16279442608356476","0.8534484505653381"
"512","5","0.13","250","[1024]","0.0009549999999999999","0.5443599224090576","0.7249676585197449","0.17867159843444824","0.8514503240585327"
"32","4","0.4","250","[128, 64, 256, 1024]","0.000802","0.5181468725204468","0.7268304824829102","0.14551399648189545","0.8525435328483582"
"128","2","0.16","250","[512, 1024]","0.00029099999999999997","0.5406798124313354","0.7289358973503113","0.16765496134757996","0.8537774085998535"
"64","225","0.4","250","[64, 1024, 128]","6e-06","0.5260445475578308","0.7309668064117432","0.13522225618362427","0.8549659848213196"
"512","26","0.03","250","[64]","0.000425","0.5244091749191284","0.7322877049446106","0.14076834917068481","0.85573810338974"
"512","7","0.22","250","[128, 256, 1024]","0.000545","0.5518186092376709","0.7384456396102905","0.13229912519454956","0.8593286275863647"
"32","6","0.45","250","[1024, 256]","0.000227","0.5364874601364136","0.7269784212112427","0.17040953040122986","0.8526303172111511"
"128","12","0.26","250","[1024, 256, 64, 128]","0.000178","0.5145595073699951","0.7318518757820129","0.15699481964111328","0.8554834127426147"
"512","13","0.1","250","[128, 256]","0.00037","0.5300943851470947","0.7254547476768494","0.16426657140254974","0.851736307144165"
"64","2","0.45","250","[1024]","0.000645","0.5196216106414795","0.7277045249938965","0.15310819447040558","0.853056013584137"
"256","6","0.41000000000000003","250","[64, 1024, 128]","0.0005819999999999999","0.5372529625892639","0.732401430606842","0.1381426751613617","0.8558045625686646"
"64","4","0.04","250","[256, 128]","0.00071","0.5110615491867065","0.7352979183197021","0.14789047837257385","0.857495129108429"
"512","29","0.34","250","[128]","0.00023899999999999998","0.530171275138855","0.7295931577682495","0.14875826239585876","0.8541622757911682"
"256","6","0.36","250","[256, 64, 512]","0.0009329999999999999","0.5156779289245605","0.7284614443778992","0.1631057858467102","0.8534995317459106"
"256","9","0.2","250","[128, 512, 64, 1024]","0.00034399999999999996","0.5629976987838745","0.7451589107513428","0.15258631110191345","0.8632258772850037"
"512","7","0.21","250","[1024, 256]","0.0008839999999999999","0.5374721884727478","0.7273392677307129","0.16327300667762756","0.852841854095459"
"32","4","0.47000000000000003","250","[64]","0.0008979999999999999","0.5121800899505615","0.7351427674293518","0.12225420027971268","0.8574046492576599"
"32","9","0.49","250","[256, 128, 512, 1024]","0.000298","0.514312207698822","0.7310875654220581","0.1336771845817566","0.8550366163253784"
"32","4","0.21","250","[64, 128, 512, 1024]","0.00037099999999999996","0.513942539691925","0.7339179515838623","0.1279362291097641","0.8566901087760925"
"32","4","0.46","250","[256]","0.0006709999999999999","0.5550380945205688","0.7345824837684631","0.1339421570301056","0.8570778965950012"
"64","4","0.05","250","[256]","0.000731","0.5023190975189209","0.7391803860664368","0.14956972002983093","0.8597559928894043"
"256","7","0.28","250","[512, 64]","0.00043999999999999996","0.5429946184158325","0.7300401926040649","0.15511685609817505","0.8544238805770874"
"32","2","0.05","250","[64, 128, 512, 1024]","0.00033299999999999996","0.5256338119506836","0.732022225856781","0.10006487369537354","0.8555829524993896"
"64","4","0.45","250","[512, 128]","0.00038199999999999996","0.5009108781814575","0.7315142750740051","0.1798786073923111","0.8552860617637634"
"128","4","0.2","250","[512, 256, 1024, 64]","0.000651","0.5155208706855774","0.7309234738349915","0.1622391939163208","0.85494065284729"
"32","5","0.03","250","[1024, 256, 64, 128]","0.0005679999999999999","0.5189415812492371","0.7287202477455139","0.1612274944782257","0.8536511063575745"
"512","19","0.38","250","[512]","0.000192","0.5331488251686096","0.7269738912582397","0.16076166927814484","0.8526276350021362"
"512","50","0.4","250","[64, 1024, 128, 512]","4.6e-05","0.5213137269020081","0.7324008941650391","0.13892896473407745","0.8558042645454407"
"256","4","0.2","250","[1024, 256]","0.000375","0.49639856815338135","0.7386271953582764","0.17274756729602814","0.8594342470169067"
"64","2","0.12","250","[512]","0.000531","0.510655403137207","0.7336727380752563","0.13906517624855042","0.8565469980239868"
"128","51","0.09","250","[256, 64]","3.7e-05","0.5310965180397034","0.7226237058639526","0.18536943197250366","0.8500727415084839"
"64","12","0.08","250","[256, 64, 512, 128]","0.000625","0.5236247777938843","0.7481837272644043","0.1200970858335495","0.864976167678833"
"512","7","0.16","250","[1024, 256]","0.000656","0.5610492825508118","0.7349690794944763","0.15592412650585175","0.8573033809661865"
"256","14","0.28","250","[64]","0.000516","0.5264590978622437","0.7321144938468933","0.1418393850326538","0.8556368947029114"
"64","5","0.38","250","[128, 256, 1024]","0.0005239999999999999","0.5098604559898376","0.7272388935089111","0.15993674099445343","0.8527830243110657"
"128","7","0.22","250","[128]","0.00054","0.5402219295501709","0.7301499247550964","0.15566286444664001","0.8544881343841553"
"32","4","0.17","250","[128]","0.000634","0.5261120200157166","0.7294489741325378","0.14287111163139343","0.8540778756141663"
"128","5","0.24","250","[128, 1024, 256, 512]","0.00026199999999999997","0.5057428479194641","0.7251002788543701","0.18892568349838257","0.8515282273292542"
"64","2","0.21","250","[256]","0.0008139999999999999","0.5105391144752502","0.7345938086509705","0.13875426352024078","0.8570844531059265"
"256","6","0.08","250","[64, 128, 1024, 256]","0.000499","0.5231589078903198","0.7394044399261475","0.12848611176013947","0.8598862886428833"
"128","3","0.28","250","[1024, 512]","0.000905","0.546414315700531","0.7279337644577026","0.18136151134967804","0.8531903624534607"
"64","4","0.28","250","[1024, 128]","0.000276","0.511812686920166","0.7299491763114929","0.15949492156505585","0.854370653629303"
"512","4","0.19","250","[512, 64, 256]","0.0009559999999999999","0.5065900683403015","0.7291989922523499","0.18615861237049103","0.8539314866065979"
"256","8","0.42","250","[1024, 128, 256, 64]","0.00086","0.5292963981628418","0.7353907227516174","0.16678772866725922","0.857549250125885"
"32","4","0.17","250","[128, 256]","0.0009119999999999999","0.5253366827964783","0.7317235469818115","0.13349252939224243","0.8554084300994873"
"64","9","0.25","250","[128, 64, 256]","0.00034399999999999996","0.5342925190925598","0.7244228720664978","0.16595323383808136","0.8511303663253784"
"512","13","0.08","250","[64, 128]","0.000656","0.5389100313186646","0.7292819619178772","0.15463486313819885","0.8539800643920898"
"128","7","0.08","250","[128]","0.000532","0.5405697822570801","0.7302024960517883","0.15709291398525238","0.8545188903808594"
"128","2","0.23","250","[512, 256]","0.0005549999999999999","0.5395734906196594","0.726516842842102","0.1794491857290268","0.8523595929145813"
"512","10","0.36","250","[128, 1024, 256, 512]","0.000327","0.5335220694541931","0.7235726118087769","0.17820586264133453","0.8506307005882263"
"32","2","0.11","250","[64]","0.0006879999999999999","0.5265206694602966","0.7329381108283997","0.1072283387184143","0.8561180233955383"
"32","2","0.46","250","[512, 1024]","0.00041999999999999996","0.5322414636611938","0.7263056039810181","0.14470461010932922","0.8522356748580933"
"512","7","0.24","250","[512, 256, 64]","0.000619","0.5407105684280396","0.7279590964317322","0.16021379828453064","0.8532052040100098"
"32","8","0.4","250","[512, 64]","0.000663","0.5348596572875977","0.7281880378723145","0.14716672897338867","0.8533393740653992"
"64","6","0.23","250","[128, 1024, 512]","0.00019099999999999998","0.5192254185676575","0.7240807414054871","0.15693601965904236","0.850929319858551"
"256","9","0.14","250","[128, 64, 512, 1024]","0.00021799999999999999","0.5521477460861206","0.7298585176467896","0.16334742307662964","0.8543175458908081"
"512","8","0.29","250","[128]","0.0008719999999999999","0.5149500370025635","0.7310501337051392","0.15043358504772186","0.8550146818161011"
"128","4","0.21","250","[64, 512, 128, 256]","0.000696","0.5165037512779236","0.7364218831062317","0.12489628791809082","0.8581502437591553"
"256","8","0.47000000000000003","250","[512, 64]","0.000558","0.5183742642402649","0.7274574041366577","0.17542776465415955","0.852911114692688"
"32","4","0.42","250","[256]","0.000348","0.5258810520172119","0.7284166216850281","0.14630627632141113","0.8534732460975647"
"256","28","0.49","250","[128, 1024, 512, 256]","0.000102","0.5200175046920776","0.7239879369735718","0.18081916868686676","0.8508747816085815"
"512","14","0.41000000000000003","250","[512, 64, 1024]","0.000234","0.5231152176856995","0.7261694073677063","0.16537345945835114","0.8521557450294495"
"512","22","0.48","250","[64]","0.000563","0.5242152214050293","0.7315188646316528","0.1447596251964569","0.8552887439727783"
"256","7","0.29","250","[512, 128, 1024, 64]","0.000383","0.5411558151245117","0.7248281240463257","0.18003228306770325","0.8513683676719666"
"64","16","0.43","250","[256, 64, 512, 128]","0.000144","0.5219091773033142","0.726789653301239","0.16654472053050995","0.8525195717811584"
"512","22","0.02","250","[64]","0.0005549999999999999","0.5240788459777832","0.7313209772109985","0.14544761180877686","0.8551730513572693"
"512","23","0.41000000000000003","250","[64]","0.000357","0.529866635799408","0.7324960827827454","0.13803532719612122","0.8558598756790161"
"32","4","0.04","250","[1024, 256, 512]","0.000687","0.5239242315292358","0.7287562489509583","0.13926701247692108","0.853672206401825"
"256","4","0.45","250","[256]","0.0009209999999999999","0.49733662605285645","0.7381395101547241","0.17244583368301392","0.8591504693031311"
"32","10","0.42","250","[1024, 256, 512, 64]","0.000939","0.4901686906814575","0.7527498602867126","0.1602785587310791","0.8676115870475769"
"128","9","0.04","250","[256, 64]","0.000404","0.543544352054596","0.7281479835510254","0.17370888590812683","0.8533158898353577"
"32","4","0.13","250","[512, 64, 128, 256]","0.000419","0.5106286406517029","0.7304046154022217","0.14499549567699432","0.8546371459960938"
"512","7","0.33","250","[512, 256]","0.0009019999999999999","0.5632573366165161","0.7325153946876526","0.1692512482404709","0.8558711409568787"
"512","11","0.39","250","[512, 1024, 256, 64]","0.00038899999999999997","0.5162255167961121","0.7270980477333069","0.16798347234725952","0.8527004718780518"
"512","7","0.01","250","[128, 512]","0.000624","0.5426599383354187","0.7247461080551147","0.17428049445152283","0.851320207118988"
"64","4","0.16","250","[512, 256, 64, 1024]","0.000256","0.5080538988113403","0.7285731434822083","0.1734788715839386","0.853564977645874"
"512","8","0.29","250","[256]","0.000906","0.5132984519004822","0.727030336856842","0.16682127118110657","0.8526607155799866"
"32","2","0.07","250","[512]","0.00043299999999999995","0.5321792960166931","0.7288870811462402","0.13292603194713593","0.8537488579750061"
"512","7","0.13","250","[1024, 512]","0.000909","0.5599476099014282","0.7365337014198303","0.15056753158569336","0.8582153916358948"
"32","6","0.48","250","[64, 128]","0.000847","0.522335410118103","0.7298908233642578","0.16449695825576782","0.8543365001678467"
"64","2","0.01","250","[512]","0.000735","0.5159080028533936","0.7310588955879211","0.1397724747657776","0.8550198078155518"
"64","155","0.48","250","[256, 64]","1.3e-05","0.5204458236694336","0.7214502692222595","0.18770669400691986","0.8493822813034058"
"32","4","0.15","250","[512, 1024, 256, 64]","0.000339","0.5216273069381714","0.7307567000389099","0.14103412628173828","0.8548430800437927"
"32","14","0.16","250","[64, 1024]","6.4e-05","0.5403988361358643","0.7290914058685303","0.13311037421226501","0.8538684844970703"
"512","198","0.11","250","[1024, 128]","8e-06","0.5239501595497131","0.7256655693054199","0.16733336448669434","0.8518600463867188"
"64","4","0.32","250","[512, 256, 128]","0.000484","0.5097362399101257","0.7316311001777649","0.16527116298675537","0.855354368686676"
"64","4","0.06","250","[512, 1024, 128]","0.000708","0.538349986076355","0.7407234907150269","0.13885676860809326","0.8606529235839844"
"128","6","0.37","250","[256, 512]","0.000232","0.5104022026062012","0.7260986566543579","0.18132400512695312","0.852114200592041"
"32","4","0.09","250","[256]","0.000377","0.5320715308189392","0.7285134792327881","0.14594510197639465","0.8535299897193909"
"32","3","0.01","250","[64, 256, 512, 1024]","0.000589","0.5242848992347717","0.7338070869445801","0.10534632951021194","0.8566253781318665"
"128","4","0.33","250","[256]","0.000732","0.5107684135437012","0.7312852740287781","0.1638946831226349","0.8551521897315979"
"256","4","0.31","250","[512, 256, 1024, 128]","0.000895","0.504443347454071","0.733267068862915","0.171847403049469","0.8563101291656494"
"32","5","0.32","250","[1024, 128]","0.000714","0.5228858590126038","0.7296842336654663","0.16729524731636047","0.8542155623435974"
"32","9","0.32","250","[128, 64, 1024, 256]","0.000332","0.516239583492279","0.7301774024963379","0.15605036914348602","0.8545041680335999"
"128","4","0.18","250","[64, 256, 128, 512]","0.00045599999999999997","0.506776750087738","0.7376930713653564","0.14543910324573517","0.8588905930519104"
"64","4","0.15","250","[256, 64, 512, 128]","0.000802","0.5064952373504639","0.7312413454055786","0.17631588876247406","0.8551265001296997"
"64","4","0.22","250","[512, 1024, 64, 256]","0.000664","0.5078117251396179","0.7364868521690369","0.15001270174980164","0.8581880927085876"
"64","3","0.25","250","[64, 1024, 128]","0.000983","0.5531131029129028","0.7318970561027527","0.13929758965969086","0.8555098176002502"
"32","4","0.07","250","[1024, 256, 512, 64]","0.000741","0.5229164361953735","0.7295454144477844","0.13716714084148407","0.8541343212127686"
"512","8","0.33","250","[1024, 512, 64]","0.0007109999999999999","0.5047901272773743","0.7338305711746216","0.16354945302009583","0.8566390872001648"
"64","2","0.17","250","[64, 512, 1024]","0.000306","0.5335708856582642","0.733519434928894","0.12375509738922119","0.8564574718475342"
"32","16","0.49","250","[1024, 128, 64, 256]","0.000157","0.521018385887146","0.726798951625824","0.15393930673599243","0.8525250554084778"
"32","6","0.06","250","[64, 512, 128, 1024]","0.000116","0.5192427039146423","0.7372356653213501","0.10482239723205566","0.858624279499054"
"32","4","0.07","250","[256, 512]","0.000175","0.5158935785293579","0.727113664150238","0.16115683317184448","0.8527095913887024"
"32","4","0.2","250","[1024, 512, 128, 256]","0.000606","0.5304337739944458","0.732132077217102","0.11955487728118896","0.8556471467018127"
"512","7","0.45","250","[1024, 256, 128, 512]","0.00087","0.5416806936264038","0.728622317314148","0.173689603805542","0.8535937666893005"
"64","4","0.3","250","[128, 1024, 512]","0.0005949999999999999","0.5271063446998596","0.729572594165802","0.15058358013629913","0.8541502356529236"
"64","53","0.2","250","[64]","8.599999999999999e-05","0.5225822925567627","0.7327187657356262","0.13985858857631683","0.855989933013916"
"32","2","0.39","250","[512, 1024]","0.00036899999999999997","0.530393123626709","0.7257786989212036","0.1478101909160614","0.8519264459609985"
"512","9","0.28","250","[128, 1024, 64, 256]","0.000692","0.5468873381614685","0.7286251187324524","0.17530786991119385","0.8535954356193542"
"64","4","0.06","250","[64, 1024, 128, 512]","0.000847","0.5006689429283142","0.7479830384254456","0.11908130347728729","0.8648601174354553"
"128","7","0.26","250","[64]","0.000749","0.5427712202072144","0.7326689958572388","0.15069285035133362","0.8559608459472656"
"64","4","0.34","250","[64, 512, 1024]","0.0007469999999999999","0.5247125625610352","0.7395853400230408","0.11862348020076752","0.8599914908409119"
"256","7","0.08","250","[128, 1024]","0.000522","0.5348383784294128","0.7271599769592285","0.16640029847621918","0.85273677110672"
"512","7","0.32","250","[256, 64, 512]","0.0009739999999999999","0.5382060408592224","0.7256109714508057","0.17050719261169434","0.8518280386924744"
"128","4","0.06","250","[128, 1024, 512]","0.000625","0.5279685258865356","0.7324652671813965","0.14521251618862152","0.855841875076294"
"64","8","0.35000000000000003","250","[256, 1024, 64]","0.000143","0.5228193402290344","0.7266979813575745","0.1593995839357376","0.852465808391571"
"64","7","0.19","250","[128, 64]","0.000336","0.5253733396530151","0.725883960723877","0.16072647273540497","0.8519882559776306"
"64","5","0.14","250","[1024, 128, 64, 512]","0.0008979999999999999","0.5177573561668396","0.732721209526062","0.15283320844173431","0.8559913635253906"
"256","7","0.26","250","[64]","0.0007639999999999999","0.5443569421768188","0.732951283454895","0.14521832764148712","0.8561257123947144"
"512","4","0.07","250","[512, 64, 1024, 256]","0.0009119999999999999","0.5354362726211548","0.7290705442428589","0.16076010465621948","0.8538562655448914"
"512","7","0.42","250","[512, 256]","0.0009809999999999999","0.5478373765945435","0.7273451089859009","0.16869822144508362","0.852845311164856"
"32","11","0.49","250","[128, 64]","0.000338","0.5338027477264404","0.7246584892272949","0.16897253692150116","0.8512687683105469"
"64","7","0.0","250","[512]","0.000158","0.5360049605369568","0.7276008129119873","0.15259426832199097","0.8529952168464661"
"512","12","0.44","250","[64, 256, 128]","0.000762","0.5313970446586609","0.7332174181938171","0.13988378643989563","0.8562811613082886"
"256","6","0.04","250","[1024, 64]","0.000558","0.5019932389259338","0.7350888848304749","0.1598433256149292","0.8573732376098633"
"256","4","0.06","250","[64, 256, 512, 1024]","0.000358","0.5074574947357178","0.7446615099906921","0.1261284351348877","0.8629377484321594"
"128","6","0.4","250","[512, 128]","0.0009939999999999999","0.5208418369293213","0.730908215045929","0.15321896970272064","0.8549317121505737"
"32","8","0.05","250","[1024, 512, 64, 128]","0.000629","0.5432440638542175","0.729727029800415","0.15091310441493988","0.8542405962944031"
"256","6","0.19","250","[512, 1024, 64]","0.000627","0.5076931118965149","0.7320749163627625","0.15836986899375916","0.8556137681007385"
"512","8","0.33","250","[256, 128]","0.0006389999999999999","0.5138510465621948","0.7232739329338074","0.18228325247764587","0.850455105304718"
"256","2","0.37","250","[1024]","0.0008039999999999999","0.5283967852592468","0.7269482612609863","0.16394726932048798","0.8526126146316528"
"256","16","0.35000000000000003","250","[1024, 128]","8.999999999999999e-05","0.5195954442024231","0.7275376915931702","0.16253282129764557","0.8529582023620605"
"64","4","0.36","250","[64, 512, 256]","0.000601","0.5144805908203125","0.7409297823905945","0.10625234246253967","0.8607727885246277"
"128","17","0.33","250","[64]","0.000366","0.5217222571372986","0.7329270243644714","0.14659163355827332","0.8561115860939026"
"128","4","0.28","250","[128, 1024]","0.000632","0.521113395690918","0.7274243235588074","0.16559916734695435","0.852891743183136"
"512","6","0.23","250","[128, 256, 64, 1024]","0.000821","0.5189706683158875","0.7262938618659973","0.16836710274219513","0.8522287607192993"
"32","4","0.25","250","[64, 128]","0.0008579999999999999","0.5130083560943604","0.7300839424133301","0.14037694036960602","0.8544495105743408"
"64","11","0.48","250","[512, 64]","0.000609","0.5232914686203003","0.7291398048400879","0.1584261655807495","0.8538968563079834"
"256","7","0.49","250","[256, 1024, 512]","0.00043099999999999996","0.5401501059532166","0.7317750453948975","0.1580904871225357","0.8554385304450989"
"512","16","0.47000000000000003","250","[128]","0.000593","0.5154009461402893","0.7298462986946106","0.1581520289182663","0.8543103933334351"
"32","15","0.49","250","[64, 256, 128, 1024]","0.000927","0.5129169225692749","0.7496259212493896","0.13100005686283112","0.8658093810081482"
"64","4","0.31","250","[128]","0.0009639999999999999","0.5034667253494263","0.7396814823150635","0.1483098864555359","0.8600473999977112"
"512","5","0.33","250","[1024]","0.0007509999999999999","0.5458569526672363","0.726248562335968","0.1748107671737671","0.8522021770477295"
"256","7","0.36","250","[512, 1024, 64]","0.000207","0.5430669784545898","0.7264180183410645","0.17774991691112518","0.8523015975952148"
"32","6","0.19","250","[512, 64]","0.000623","0.5345158576965332","0.7302345633506775","0.16073721647262573","0.8545376062393188"
"512","5","0.1","250","[1024]","0.000636","0.5521162152290344","0.7284078598022461","0.17384083569049835","0.853468120098114"
"512","8","0.43","250","[512, 1024, 64]","0.000851","0.5016300082206726","0.7317407727241516","0.181462362408638","0.8554185032844543"
"64","7","0.47000000000000003","250","[128]","0.000343","0.5367705225944519","0.7297645211219788","0.15077316761016846","0.8542625308036804"
"128","17","0.31","250","[64]","0.000392","0.5236770510673523","0.7339441180229187","0.14338518679141998","0.856705367565155"
"512","3","0.01","250","[256, 64, 512, 1024]","0.0005589999999999999","0.5094963908195496","0.7274671196937561","0.17940910160541534","0.8529168367385864"
"256","9","0.44","250","[256, 512, 1024, 128]","0.000444","0.5451576709747314","0.737578272819519","0.1606072336435318","0.8588237762451172"
"64","19","0.41000000000000003","250","[256, 64, 128]","0.000154","0.5253607034683228","0.7231088876724243","0.1861111968755722","0.8503580689430237"
"64","4","0.08","250","[64, 1024, 128, 256]","0.000619","0.5211875438690186","0.7332330942153931","0.13977958261966705","0.8562902808189392"
"128","38","0.08","250","[256, 64, 1024]","2.4999999999999998e-05","0.5173900127410889","0.7243525981903076","0.1823045313358307","0.8510890603065491"
"64","21","0.31","250","[64]","0.000155","0.5300016403198242","0.7317783236503601","0.14178763329982758","0.8554404377937317"
"128","74","0.03","250","[64]","7e-05","0.5258982181549072","0.7324955463409424","0.14779934287071228","0.8558595180511475"
"128","12","0.38","250","[1024, 128, 64, 256]","0.000428","0.5168904662132263","0.7303265929222107","0.17098526656627655","0.8545914888381958"
"512","7","0.12","250","[512, 1024]","0.00048499999999999997","0.566615879535675","0.7398661375045776","0.14816415309906006","0.8601546883583069"
