"best_epoch","dropout_rate","fc_layers","filter_counts","filter_sizes","learning_rate","pooling_type","stride","val_mae","val_mean_squared_error","val_pearsonr","val_rmse"
"11","0.20001898326473289","[66, 81]","[4, 4, 4, 4, 2, 1]","[14, 11, 5, 6, 13, 2]","0.0002735637144843948","max","1","1.2979644536972046","2.51069974899292","0.12062007188796997","1.5845187902450562"
"36","0.1675192728500436","[61, 19]","[2, 3, 3, 4, 3, 1]","[5, 10, 7, 9, 3, 8]","0.0003776913297054329","max","1","0.6887874007225037","1.0667002201080322","0.1128569021821022","1.0328117609024048"
"17","0.21308046013701465","[33]","[4, 4, 2, 4, 2]","[2, 4, 7, 5, 11]","0.00012688338984412898","max","1","1.395644187927246","2.9551196098327637","0.12290210276842117","1.7190461158752441"
"13","0.20938656066117423","[81]","[4, 4, 4, 3]","[12, 7, 8, 5]","0.00012866312297941715","avg","2","0.6474355459213257","0.8112753033638","0.1434137374162674","0.9007081985473633"
"11","0.3092745779347765","[17, 68, 32]","[1, 1, 3, 2]","[5, 3, 6, 4]","0.0006708503775415871","max","1","0.9846736788749695","1.760188341140747","0.09051146358251572","1.326720952987671"
"8","0.1762689356297596","[57, 88]","[1, 3, 3, 4, 3]","[9, 7, 14, 8, 3]","0.002111904233866288","avg","1","1.588624358177185","3.626730442047119","0.13300721347332","1.9043976068496704"
"6","0.053425764836495804","[79]","[4, 3, 1]","[5, 8, 2]","0.0015997011907138879","max","2","0.8592944145202637","1.3136471509933472","0.04306852072477341","1.1461445093154907"
"8","0.13824516091073585","[81]","[3, 4, 3, 2]","[10, 2, 8, 5]","0.00028878058311163475","avg","2","0.5361447930335999","0.7653567790985107","0.10437872260808945","0.8748466968536377"
"61","0.47794978204168603","[85, 46, 71]","[1, 2, 4, 2]","[14, 12, 10, 3]","0.0008624549455221534","avg","1","0.6454507112503052","0.9261025786399841","0.08892548084259033","0.9623422622680664"
"6","0.015988555271257587","[97]","[4, 2, 3, 3, 1]","[8, 7, 13, 5, 10]","0.0011521233113899038","max","2","0.9121940732002258","1.4659267663955688","0.06752265989780426","1.210754632949829"
